Log,Attack Type,Source
duration: 0 | protocol_type: tcp | service: domain | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 285,Anomaly,KDDTrain+.arff
duration: 5 | protocol_type: tcp | service: pop_3 | flag: SF | src_bytes: 27 | dst_bytes: 93 | count: 1,Anomaly,KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 175,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: gopher | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 231,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 21500 | protocol_type: tcp | service: private | flag: RSTR | src_bytes: 1 | dst_bytes: 0 | count: 2,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 75,Anomaly,nsl-kdd/KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: telnet | flag: S3 | src_bytes: 0 | dst_bytes: 44 | count: 1,Anomaly,KDDTest+.arff
duration: 0 | protocol_type: tcp | service: private | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 102,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: icmp | service: eco_i | flag: SF | src_bytes: 18 | dst_bytes: 0 | count: 1,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: iso_tsap | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 215,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: telnet | flag: SF | src_bytes: 124 | dst_bytes: 174 | count: 1,Anomaly,KDDTest+.arff
duration: 0 | protocol_type: tcp | service: ctf | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 204,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 223,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: ftp_data | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 9,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: icmp | service: ecr_i | flag: SF | src_bytes: 1032 | dst_bytes: 0 | count: 6,Anomaly,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: tcp | service: exec | flag: RSTO | src_bytes: 0 | dst_bytes: 0 | count: 149,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: other | flag: SF | src_bytes: 23 | dst_bytes: 23 | count: 1,Anomaly,KDDTest-21.arff
duration: 0 | protocol_type: icmp | service: ecr_i | flag: SF | src_bytes: 520 | dst_bytes: 0 | count: 321,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: klogin | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 132,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 259,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: finger | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 74,Anomaly,KDDTrain+.arff
duration: 7666 | protocol_type: tcp | service: telnet | flag: SF | src_bytes: 0 | dst_bytes: 44 | count: 1,Anomaly,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: tcp | service: finger | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 295,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 58,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http_443 | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 69,Anomaly,KDDTrain+.arff
duration: 283 | protocol_type: tcp | service: ftp | flag: SF | src_bytes: 160 | dst_bytes: 597 | count: 1,Anomaly,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: tcp | service: telnet | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 296,Anomaly,KDDTrain+.arff
duration: 10 | protocol_type: tcp | service: telnet | flag: SF | src_bytes: 120 | dst_bytes: 2376 | count: 1,Anomaly,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 128,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: RSTR | src_bytes: 0 | dst_bytes: 0 | count: 1,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: private | flag: SF | src_bytes: 105 | dst_bytes: 146 | count: 1,Anomaly,KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: courier | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 112,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: other | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 511,Anomaly,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: tcp | service: private | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 144,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: echo | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 226,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 1 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 2599 | dst_bytes: 293 | count: 2,Anomaly,KDDTest+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 123,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 31,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 102,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: icmp | service: eco_i | flag: SF | src_bytes: 18 | dst_bytes: 0 | count: 1,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 277,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: bgp | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 264,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 1 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 2599 | dst_bytes: 293 | count: 3,Anomaly,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: icmp | service: eco_i | flag: SF | src_bytes: 8 | dst_bytes: 0 | count: 1,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 224,Anomaly,KDDTest+.arff
duration: 0 | protocol_type: tcp | service: auth | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 28,Anomaly,KDDTrain+.arff
duration: 282 | protocol_type: tcp | service: ftp | flag: SF | src_bytes: 158 | dst_bytes: 595 | count: 1,Anomaly,nsl-kdd/KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: exec | flag: RSTO | src_bytes: 0 | dst_bytes: 0 | count: 140,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: vmnet | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 217,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 27,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: ftp_data | flag: SF | src_bytes: 12 | dst_bytes: 0 | count: 1,Anomaly,KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: ftp_data | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 294,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: uucp | flag: RSTO | src_bytes: 0 | dst_bytes: 0 | count: 114,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 198,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: private | flag: SF | src_bytes: 1 | dst_bytes: 0 | count: 54,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: sql_net | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 260,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 167,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: telnet | flag: S3 | src_bytes: 0 | dst_bytes: 44 | count: 1,Anomaly,KDDTest+.arff
duration: 0 | protocol_type: tcp | service: daytime | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 273,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: icmp | service: ecr_i | flag: SF | src_bytes: 1032 | dst_bytes: 0 | count: 281,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http_443 | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 206,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: imap4 | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 199,Anomaly,KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: exec | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 132,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: finger | flag: SF | src_bytes: 10 | dst_bytes: 44 | count: 4,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: icmp | service: ecr_i | flag: SF | src_bytes: 1032 | dst_bytes: 0 | count: 286,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 901 | protocol_type: tcp | service: http | flag: RSTR | src_bytes: 56504 | dst_bytes: 0 | count: 82,Anomaly,KDDTest+.arff
duration: 0 | protocol_type: tcp | service: netbios_ns | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 93,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: echo | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 263,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: printer | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 138,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: icmp | service: ecr_i | flag: SF | src_bytes: 1032 | dst_bytes: 0 | count: 62,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: efs | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 120,Anomaly,nsl-kdd/KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 244,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: name | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 211,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: ftp | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 284,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: S0 | src_bytes: 0 | dst_bytes: 0 | count: 220,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: iso_tsap | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 243,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: nnsp | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 111,Anomaly,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: private | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 275,Anomaly,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: name | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 252,Anomaly,KDDTest+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 212 | dst_bytes: 31361 | count: 7,Benign,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 316 | dst_bytes: 540 | count: 13,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 46 | dst_bytes: 115 | count: 209,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 218 | dst_bytes: 363 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 207 | dst_bytes: 597 | count: 11,Benign,KDDTrain+.arff
duration: 0 | protocol_type: udp | service: other | flag: SF | src_bytes: 115 | dst_bytes: 0 | count: 59,Benign,KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: ftp_data | flag: SF | src_bytes: 6932 | dst_bytes: 0 | count: 2,Benign,nsl-kdd/KDDTest+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 303 | dst_bytes: 4046 | count: 6,Benign,KDDTrain+.arff
id: 1928 | dur: 0.00 | spkts: 2 | dpkts: 2 | sbytes: 132 | dbytes: 164 | rate: 2540.22 | sttl: 31 | dttl: 29 | sload: 447078.75,Benign,UNSW_NB15_testing-set.csv
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 212 | dst_bytes: 5008 | count: 1,Benign,KDDTest+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 324 | dst_bytes: 366 | count: 7,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 212 | dst_bytes: 10269 | count: 3,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 225 | dst_bytes: 5089 | count: 14,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 878 | dst_bytes: 332 | count: 1,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 42 | dst_bytes: 128 | count: 197,Benign,nsl-kdd/KDDTrain+.arff
_Destination_Port: 53 | _Flow_Duration: 30616 | _Total_Fwd_Packets: 1 | _Total_Backward_Packets: 1 | Total_Length_of_Fwd_Packets: 56 | _Total_Length_of_Bwd_Packets: 72 | _Fwd_Packet_Length_Max: 56 | _Fwd_Packet_Length_Min: 56 | _Fwd_Packet_Length_Mean: 56.00 | _Fwd_Packet_Length_Std: 0.00 | Bwd_Packet_Length_Max: 72 | _Bwd_Packet_Length_Min: 72 | _Bwd_Packet_Length_Mean: 72.00 | _Bwd_Packet_Length_Std: 0.00 | Flow_Bytes/s: 4180.82,Benign,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
duration: 27 | protocol_type: tcp | service: ftp | flag: SF | src_bytes: 1468 | dst_bytes: 4152 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 193 | dst_bytes: 12164 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 316 | dst_bytes: 4061 | count: 6,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 225 | dst_bytes: 19550 | count: 18,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 33 | dst_bytes: 0 | count: 1,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 33 | dst_bytes: 88 | count: 1,Benign,KDDTrain+.arff
duration: 1 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 869 | dst_bytes: 329 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: udp | service: private | flag: SF | src_bytes: 28 | dst_bytes: 0 | count: 91,Benign,KDDTest-21.arff
0.001055: 0.80 | 132: 1540 | 164: 1644 | 31: 31 | 29: 29 | 0: 4 | 0.1: 4 | 500473.9375: 14391.95 | 621800.9375: 15478.32 | 2: 16,Benign,UNSW-NB15_1.csv
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 45 | dst_bytes: 75 | count: 191,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 307 | dst_bytes: 8792 | count: 7,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 1021 | dst_bytes: 329 | count: 3,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 227 | dst_bytes: 762 | count: 19,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: other | flag: SF | src_bytes: 147 | dst_bytes: 0 | count: 2,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 304 | dst_bytes: 1930 | count: 19,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 259 | dst_bytes: 3494 | count: 1,Benign,KDDTrain+.arff
_Destination_Port: 443 | _Flow_Duration: 65739 | _Total_Fwd_Packets: 8 | _Total_Backward_Packets: 6 | Total_Length_of_Fwd_Packets: 540 | _Total_Length_of_Bwd_Packets: 4568 | _Fwd_Packet_Length_Max: 187 | _Fwd_Packet_Length_Min: 0 | _Fwd_Packet_Length_Mean: 67.50 | _Fwd_Packet_Length_Std: 78.55 | Bwd_Packet_Length_Max: 1460 | _Bwd_Packet_Length_Min: 0 | _Bwd_Packet_Length_Mean: 761.33 | _Bwd_Packet_Length_Std: 690.74 | Flow_Bytes/s: 77701.21,Benign,Wednesday-workingHours.pcap_ISCX.csv
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 316 | dst_bytes: 1452 | count: 10,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 2492 | dst_bytes: 391 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 1381 | dst_bytes: 387 | count: 1,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 42 | dst_bytes: 42 | count: 5,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 207 | dst_bytes: 2446 | count: 10,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 217 | dst_bytes: 330 | count: 17,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 989 | dst_bytes: 334 | count: 1,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 746 | dst_bytes: 336 | count: 2,Benign,KDDTrain+.arff
duration: 0 | protocol_type: icmp | service: ecr_i | flag: SF | src_bytes: 64 | dst_bytes: 0 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 306 | dst_bytes: 405 | count: 16,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 192 | dst_bytes: 910 | count: 10,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 226 | dst_bytes: 1719 | count: 24,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 213 | dst_bytes: 1529 | count: 16,Benign,nsl-kdd/KDDTrain+.arff
duration: 7 | protocol_type: tcp | service: telnet | flag: SF | src_bytes: 102 | dst_bytes: 1442 | count: 1,Benign,KDDTrain+.arff
_Destination_Port: 80 | _Flow_Duration: 106 | _Total_Fwd_Packets: 2 | _Total_Backward_Packets: 0 | Total_Length_of_Fwd_Packets: 12 | _Total_Length_of_Bwd_Packets: 0 | _Fwd_Packet_Length_Max: 6 | _Fwd_Packet_Length_Min: 6 | _Fwd_Packet_Length_Mean: 6.00 | _Fwd_Packet_Length_Std: 0.00 | Bwd_Packet_Length_Max: 0 | _Bwd_Packet_Length_Min: 0 | _Bwd_Packet_Length_Mean: 0.00 | _Bwd_Packet_Length_Std: 0.00 | Flow_Bytes/s: 113207.55,Benign,Wednesday-workingHours.pcap_ISCX.csv
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 252 | dst_bytes: 1377 | count: 7,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 209 | dst_bytes: 469 | count: 10,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 852 | dst_bytes: 439 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 1,Benign,nsl-kdd/KDDTrain+.arff
Dst Port: 49802 | Protocol: 6 | Flow Duration: 1 | Tot Fwd Pkts: 3 | Tot Bwd Pkts: 0 | TotLen Fwd Pkts: 77 | TotLen Bwd Pkts: 0.00 | Fwd Pkt Len Max: 46 | Fwd Pkt Len Min: 0 | Fwd Pkt Len Mean: 25.67 | Fwd Pkt Len Std: 23.46 | Bwd Pkt Len Max: 0,Benign,03-02-2018.csv
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 207 | dst_bytes: 340 | count: 3,Benign,nsl-kdd/KDDTrain+.arff
duration: 764 | protocol_type: tcp | service: IRC | flag: RSTR | src_bytes: 164 | dst_bytes: 1288 | count: 1,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 45 | dst_bytes: 45 | count: 161,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 291 | dst_bytes: 255 | count: 2,Benign,nsl-kdd/KDDTrain+.arff
_Destination_Port: 443 | _Flow_Duration: 1404602 | _Total_Fwd_Packets: 2 | _Total_Backward_Packets: 0 | Total_Length_of_Fwd_Packets: 12 | _Total_Length_of_Bwd_Packets: 0 | _Fwd_Packet_Length_Max: 6 | _Fwd_Packet_Length_Min: 6 | _Fwd_Packet_Length_Mean: 6.00 | _Fwd_Packet_Length_Std: 0.00 | Bwd_Packet_Length_Max: 0 | _Bwd_Packet_Length_Min: 0 | _Bwd_Packet_Length_Mean: 0.00 | _Bwd_Packet_Length_Std: 0.00 | Flow_Bytes/s: 8.54,Benign,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 44 | dst_bytes: 80 | count: 267,Benign,KDDTrain+.arff
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 44 | dst_bytes: 140 | count: 156,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 1439 | dst_bytes: 329 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 160 | dst_bytes: 1822 | count: 1,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 239 | dst_bytes: 392 | count: 8,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 305 | dst_bytes: 643 | count: 8,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: REJ | src_bytes: 0 | dst_bytes: 0 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 240 | dst_bytes: 453 | count: 14,Benign,KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: ftp_data | flag: SF | src_bytes: 1199 | dst_bytes: 0 | count: 2,Benign,nsl-kdd/KDDTest-21.arff
duration: 0 | protocol_type: tcp | service: http | flag: SF | src_bytes: 234 | dst_bytes: 1931 | count: 5,Benign,nsl-kdd/KDDTrain+.arff
duration: 0 | protocol_type: tcp | service: smtp | flag: SF | src_bytes: 1409 | dst_bytes: 334 | count: 1,Benign,KDDTrain+.arff
duration: 0 | protocol_type: udp | service: domain_u | flag: SF | src_bytes: 45 | dst_bytes: 133 | count: 19,Benign,nsl-kdd/KDDTrain+.arff
